레벨,공격력,체력
1,5,2500000
2,10,5000000
3,15,7500000
4,20,10000000
5,25,13125000
6,30,15000000
7,45,20625000
8,60,24375000
9,75,28125000
10,90,31875000
11,105,35625000
12,120,39375000
13,135,43125000
14,150,46875000
15,165,50625000
16,180,54375000
17,195,58125000
18,210,61875000
19,225,65625000
20,240,69375000
21,255,73125000
22,270,76875000
23,285,80625000
24,300,84375000
25,315,88125000
26,330,91875000
27,345,95625000
28,360,99375000
29,375,103125000
30,390,106875000
31,405,110625000
32,420,114375000
33,435,118125000
34,450,121875000
35,465,125625000
36,480,129375000
37,495,133125000
38,510,136875008
39,525,140625008
40,540,145625008
41,555,150625008
42,570,155625008
43,585,160625008
44,600,165625008
45,615,170625008
46,630,175625008
47,645,180625008
48,660,185625008
49,675,190625008
50,690,195625008
51,705,200625008
52,720,205625008
53,735,210625008
54,750,215625008
55,765,220625008
56,780,225625008
57,795,230625008
58,810,235625008
59,825,240625008
60,840,245625008
61,855,250625008
62,870,255625008
63,885,260625008
64,900,265625008
65,915,270625024
66,930,275625024
67,945,280625024
68,960,285625024
69,975,290625024
70,990,295625024
71,1005,300625024
72,1020,305625024
73,1035,310625024
74,1050,315625024
75,1065,320625024
76,1080,325625024
77,1095,330625024
78,1110,335625024
79,1125,340625024
80,1140,345625024
81,1155,350625024
82,1170,355625024
83,1185,360625024
84,1200,365625024
85,1215,370625024
86,1230,375625024
87,1245,380625024
88,1260,385625024
89,1275,390625024
90,1290,395625024
91,1305,400625024
92,1320,405625024
93,1335,410625024
94,1350,415625024
95,1365,420625024
96,1380,425625024
97,1395,430625024
98,1410,435625024
99,1425,440625024
100,1440,445625024
101,1455,450625024
102,1470,455625024
103,1485,460625024
104,1500,465625024
105,1515,470625024
106,1530,475625024
107,1545,480625024
108,1560,485625024
109,1575,490625024
110,1590,495625024
111,1605,500625024
112,1620,505625024
113,1635,510625024
114,1650,515625024
115,1665,520625024
116,1680,525625024
117,1695,530625024
118,1710,535625024
119,1725,540625024
120,1740,545625024
121,1755,550625024
122,1770,555625024
123,1785,560625024
124,1800,565625024
125,1815,570625024
126,1830,575625024
127,1845,580625024
128,1860,585625024
129,1875,590625024
130,1890,595625024
131,1905,600625024
132,1920,605625024
133,1935,610625024
134,1950,615625024
135,1965,620625024
136,1980,625625024
137,1995,630625024
138,2010,635625024
139,2025,640625024
140,2040,645625024
141,2055,650625024
142,2070,655625024
143,2085,660625024
144,2100,665625024
145,2115,670625024
146,2130,675625024
147,2145,680625024
148,2160,685625024
149,2175,690625024
150,2190,695625024
